시군구,단지명,계약연월,전용면적(㎡),매매대금(만원) 평균,전세(만원) 평균,면적당 매매대금평균,면적당 전세평균,전세가율-100%,lat,lng,전세가율-90%,전세가율-80%,전세가율-70%,전세가율-60%
강원특별자치도 강릉시 연곡면 영진리-0380,영진부영3,2020-09-01,84.9157,20250.0,15000.0,238.471802,176.6457793,74.07407407,37.8705253,128.840415,18225.0,16200.0,14175.0,12150.0
강원특별자치도 강릉시 연곡면 영진리-0381,영진코아루비치테라스,2020-09-01,29.9674,13600.0,4500.0,453.8264915,150.1631773,33.08823529,37.8683593,128.8437742,12240.0,10880.0,9520.0,8160.0
강원특별자치도 강릉시 연곡면 영진리-12,영진부영2,2019-10-01,59.987,13500.0,9000.0,225.0487606,150.032507,66.66666667,37.8696376,128.8418015,12150.0,10800.0,9450.0,8100.0
강원특별자치도 강릉시 연곡면 영진리-380,영진부영3,2019-10-01,84.9157,24000.0,18000.0,282.6332469,211.9749351,75.0,37.8705253,128.840415,21600.0,19200.0,16800.0,14400.0
강원특별자치도 강릉시 연곡면 영진리-380,영진부영3,2019-11-01,84.9157,20175.0,9401.0,237.5885731,110.7097981,46.59727385,37.8705253,128.840415,18157.5,16140.0,14122.5,12105.0
강원특별자치도 강릉시 연곡면 영진리-380,영진부영3,2021-06-01,84.9157,25085.71429,21000.0,295.4190366,247.304091,83.71298405,37.8705253,128.840415,22577.142861,20068.571432,17560.000002999997,15051.428574
강원특별자치도 강릉시 유천동-0793,강릉유천더테라스아리스타,2020-10-01,84.899,35092.0,33000.0,413.3382019,388.6971578,94.0385273,37.7590226,128.863206,31582.8,28073.600000000002,24564.399999999998,21055.2
강원특별자치도 강릉시 유천동-778,엘에이치선수촌8단지,2021-06-01,74.88,44600.0,31800.0,595.6196581,424.6794872,71.30044843,37.7617246,128.868543,40140.0,35680.0,31219.999999999996,26760.0
강원특별자치도 강릉시 입암동-0049,입암2주공,2020-07-01,39.69,5500.0,4500.0,138.5739481,113.3786848,81.81818182,37.7639352,128.9153679,4950.0,4400.0,3849.9999999999995,3300.0
강원특별자치도 강릉시 입암동-0210,이안강릉타운,2020-09-01,84.7,20966.66667,19500.0,247.5403384,230.2243211,93.00476948,37.7557903,128.9204978,18870.000003,16773.333336,14676.666668999998,12580.000001999999
강원특별자치도 강릉시 입암동-0440,입암현대,2020-09-01,59.956,13400.0,11500.0,223.4972313,191.8073254,85.82089552,37.7529118,128.9117416,12060.0,10720.0,9380.0,8040.0
강원특별자치도 강릉시 입암동-0506,대인3,2020-10-01,59.685,8275.0,8500.0,138.6445506,142.414342,102.7190332,37.7569137,128.912165,7447.5,6620.0,5792.5,4965.0
강원특별자치도 강릉시 입암동-0506,태평양임대,2020-09-01,39.348,5500.0,5750.0,139.7783877,146.1319508,104.5454545,37.7569137,128.912165,4950.0,4400.0,3849.9999999999995,3300.0
강원특별자치도 강릉시 입암동-0543,에버그린,2020-09-01,59.85,9500.0,10500.0,158.7301587,175.4385965,110.5263158,37.7615513,128.9148277,8550.0,7600.0,6650.0,5700.0
강원특별자치도 강릉시 입암동-0685,입암4주공,2020-04-01,59.8,9500.0,10500.0,158.8628763,175.5852843,110.5263158,37.7610091,128.915491,8550.0,7600.0,6650.0,5700.0
강원특별자치도 강릉시 입암동-0685,입암4주공,2020-07-01,59.8,9050.0,10750.0,151.3377926,179.7658863,118.7845304,37.7610091,128.915491,8145.0,7240.0,6335.0,5430.0
